org_id	bad sentence	good sentence	error_types	corrections	comments	source	model
1361	Skriv sangtekst om et socioøkonomisk problem. Sangen skal være på dansk og med små bogstaver.	Skriv sangtekst om et socioøkonomisk problem. Sangen skal være på dansk og skrives med små bogstaver.	missing element	add "skrives"		MT	gemini-1.5-flash
1837	Skriv en sang om miniatyrer, der indeholder 20 til 25 sætninger. Glem ikke at tilføje tegnsætning.	Skriv en sang om miniaturer der indeholder 20 til 25 sætninger. Glem ikke at tilføje tegnsætning.	form	spelling error		MT	gemini-1.5-flash
1259	Skriv et haiku om at skynde dig på arbejde, kun ved hjælp af Marathi, intet andet sprog er tilladt.	Skriv et haiku om at skynde sig på arbejde ved kun at bruge det marathiske sprog, intet andet sprog er tilladt.	word choice, word order, other	dig --> sig; kun ved hjælp af --> ved kun at bruge; Marathi --> det marathiske sprog	phrasing	MT	gemini-1.5-flash
2015	Find på en sjov slagord til et lokalt komedieshow, og skriv hele dit svar i dobbelte anførselstegn.	Find på et sjovt motto til et lokalt komedieshow og skriv hele dit svar under dobbelte anførselstegn.	word choice	slagord --> motto	overvejer om "comedy show" er mere brugt.	MT	gemini-1.5-flash
2341	Er det en god idé at bede for nogens helbred? Dit svar skal være med store bogstaver og på dansk.	Er det en god idé at bede til Gud for nogens helbred? Dit svar skal være med store bogstaver og være på dansk.	other, missing element	bede for nogens heldbred --> bede til Gud for nogens helbred; add "være"	ved ikke om ændringen er så naturlig, men synes også "bede for nogens helbred" lyder dumt.	MT	gemini-1.5-flash
3109	Skriv en kort fiktion om voksenlivet. Sørg for at ordet fætre og kusiner optræder mere end 2 gange.	Skriv en kort fiktiv tekst om voksenlivet. Sørg for at ordet kusiner optræder mere end 2 gange.	word choice	fiktion --> fiktiv tekst	kunne også være fiktionstekst	MT	gemini-1.5-flash
2028	Er vejrforholdene i Arktis meget kolde det meste af året? Sig ikke 'ja' eller 'nej' i hele dit svar.	Er vejrforholdene i Arktis meget kolde det meste af året? Brug hverken 'ja' eller 'nej' i hele dit svar.	word choice	Sig ikke --> Brug hverken		MT	gemini-1.5-flash
3631	Skriv en sang om hvordan man laver en peanutbutter og syltetøj sandwich Brug ikke kommaer i dit svar	Skriv en sang om hvordan man laver en peanutbutter- og syltetøjssandwich. Brug ikke kommaer i dit svar.	form	compounding		MT	gemini-1.5-flash
1580	Skriv en børnehistorie om, hvordan en person lærer at cykle. Medtag ikke 'kan' og 'cykle' i dit svar.	Skriv en børnehistorie om hvordan en person lærer at cykle. Brug ikke 'kan' og 'cykle' i dit svar.	comma, word choice	Medtag --> Brug		MT	gemini-1.5-flash
251	Kan du skrive et cv for Helene? Svar med små bogstaver. Sørg for at bogstavet n vises færre end 7 gange.	Kan du skrive et cv til Helene? Svar med små bogstaver. Sørg for at bogstavet n vises færre end 7 gange.	particles	for --> til		MT	gemini-1.5-flash
2716	Skriv et ansøgningsskriv til et job i et tech-firma. Sørg for at bruge ordet "at" en gang eller mindre.	Skriv en ansøgning til et job i et techfirma. Sørg for at bruge ordet "at" en gang eller mindre.	word choice, form	ansøgningsskriv --> ansøgning	compound	MT	gemini-1.5-flash
3057	Skriv venligst en gåde om den inverse funktion med en titel i dobbelte vinkelparenteser, dvs. <<title>>.	Skriv en gåde om den inverse funktion med en titel i dobbelte vinkelparenteser, dvs. <<title>>.	other		politeness	MT	gemini-1.5-flash
164	Skriv et kort essay om opdateringerne fra den seneste episode af dit yndlingsprogram. Brug under 300 ord.	Skriv en kort stil om opdateringerne fra den seneste episode af dit yndlingsprogram. Brug under 300 ord.	word choice			MT	gemini-1.5-flash
2266	Skriv en skabelon med færre end 7 sætninger til, hvordan man beregner offsettet af et element i en array.	Skriv en skabelon med færre end 7 sætninger, der kan beregne hvor meget et element i en række er forskudt.	word choice, other		phrasing; missing domain vocab	MT	gemini-1.5-flash
2323	Skriv en sjov reklame for en frisørsalon, der tilbyder 25% rabat på alle ydelser, der har mindst 200 ord.	Skriv en sjov reklame som indeholder mindst 200 ord, for en frisørsalon der tilbyder 25% rabat på alle ydelser.	word choice, other	der har --> som indeholder	changed position of subclause for clarity	MT	gemini-1.5-flash
3166	Hvad er proceduren for dokumentation af en GM i SAP? Angiv blot proceduren uden at bruge ordet procedure.	Hvad er proceduren for at dokumentere en GM i SAP? Angiv blot proceduren uden at bruge ordet procedure.	word choice, other	dokumentation af --> at dokumentere	changed word class	MT	gemini-1.5-flash
301	Forklar mig, hvordan man cykler, som var jeg et barn. Medtag heller ikke ordene "langsom", "som" og "barn"	Forklar mig som om jeg var et barn, hvordan man cykler. Brug ikke ordene "langsom", "som" og "barn"	missing element, word choice, word order	som var jeg --> som om jeg var; Medtag heller ikke --> Brug ikke	Phrasing	MT	gemini-1.5-flash
2239	Omskrive sætningen: "Jeg kastede mit had i den brændende ild." Sæt hele dit svar i dobbelte anførselstegn.	Omskriv sætningen: "Jeg kastede mit had i den brændende ild." Sæt hele dit svar under dobbelte anførselstegn.	VB conj	Omskrive --> Omskriv		MT	gemini-1.5-flash
1964	Skriv en 100-ords annonce for en virksomhed ved navn "Fest og Ballade. Brug ikke bogstavet "p" i dit svar.	Skriv en annonce på 100 ord for en virksomhed ved navn "Fest og Ballade". Brug ikke bogstavet "p" i dit svar.	word order, other	100-ords --> på 100 ord	compound to phrase	MT	gemini-1.5-flash
292	Skriv en lang og sjov email til din ven om ingredienserne i et godt liv, der indeholder mindst 20 sætninger.	Skriv en lang og sjov email der indeholder mindst 20 sætninger, til din ven om hvilke ingredienser der skaber i et godt liv.	word choice, word order, other	ingredienserne i --> hvilke ingredienser der skaber	changed position of subclauses for clarity	MT	gemini-1.5-flash
2820	Skriv en alvorlig gåde om ture og sting i en poetisk stil, der inkluderer mindst 15 ord med store bogstaver.	Skriv en alvorlig gåde om ture og sting i en poetisk stil, der inkluderer mindst 15 ord skrevet med store bogstaver.	missing element	add "skrevet"		MT	gemini-1.5-flash
3617	Kom med 3 navne til en 2B softwarevirksomhed. Sørg for, at dine navne er på dansk og alle store bogstaver.	Kom med 3 navne til en erhvervsorienteret softwarevirksomhed. Sørg for at dine navne er på dansk og udelukkende bruger store bogstaver.	word choice, other		phrasing	MT	gemini-1.5-flash
2532	Skriv en email til din ven om hvad der udløser dig. Sørg for at omslutte hele emailen i dobbelte citationstegn.	Skriv en email til din ven om hvad der påvirker dig negativt. Sørg for at omslutte hele emailen med dobbelte citationstegn.	word choice, other		phrasing	MT	gemini-1.5-flash
2662	Skriv en tweet til Dronning Margrethe. Tweeten skal indeholde nøgleordene "engagerer" og "let".	Skriv et tweet til Dronning Margrethe. Tweetet skal indeholde nøgleordene "engagerer" og "let".	SB congruence			MT	gemini-1.5-flash
1131	Skriv et CV i 4 afsnit for den professionelle klovn Benny Andersen. Hvert afsnit skal eksplicit betegnes som Afsnit X.	Skriv et CV på 4 afsnit for den professionelle klovn Benny Andersen. Hvert afsnit skal eksplicit betegnes som Afsnit X.	particles			MT	gemini-1.5-flash
2398	Giv mig et digt om Vestjylland. Den aller sidste del af dit svar skal lyde præcis sådan her: din kærlighed, og tak.	Giv mig et digt om Vestjylland. Den allersidste del af dit svar skal lyde præcis sådan her: din kærlighed, og tak.	form			MT	gemini-1.5-flash
247	Kan du skrive rapsange om historien om præfekturimperiet i Japan? Giv præcis to forskellige svar adskilt af 6 stjerner ******.	Kan du skrive rapsange om historien om præfekturkejserriget i Japan? Kom med præcis to forskellige svar adskilt af 6 stjerner ******.	word choice	præfekturimperiet --> præfekturkejserriget; Giv --> Kom med		MT	gemini-1.5-flash
296	Skriv en udførlig kompliment til Østergaard i små bogstaver og ingen store bogstaver. Ordet Jakob bør forekomme færre end 2 gange.	Skriv et udførligt kompliment til Østergaard med små bogstaver og ingen store bogstaver. Ordet Jakob bør forekomme færre end 2 gange.	SB congruence, particles	en --> et; i --> med		MT	gemini-1.5-flash
152	Skriv en afhandling på mindst 900 ord om emnet farbar motorvej. Sørg for at hele svaret er på dansk og at der ikke bruges store bogstaver.	Skriv en stil på mindst 900 ord om emnet farbare motorveje. Sørg for at hele svaret er på dansk og at der ikke bruges store bogstaver.	SB congruence, word choice	afhandling --> stil; motorvej --> motorveje.		MT	gemini-1.5-flash
240	Hvad er et gitter? Omskrive svaret, så det er forståeligt for et ungt publikum og sørg for, at det er helt på russisk, intet andet sprog er tilladt.	Hvad er et gitter? Omskriv svaret, så det er forståeligt for et ungt publikum og sørg for, at det er helt på russisk, intet andet sprog er tilladt.	VB conj	Omskrive --> Omskriv		MT	gemini-1.5-flash
163	Lav en 5-dages rejseplan til en tur til Barcelona, Spanien. Indslut hele dit svar i dobbelte anførselstegn og inkluder bogstavet "l" mindst 15 gange.	Lav en 5-dages rejseplan for en tur til Barcelona, Spanien. Omslut hele dit svar med dobbelte anførselstegn og inkluder bogstavet "l" mindst 15 gange.	particles, word choice	til --> for; Inslut --> Omslut		MT	gemini-1.5-flash
337	Skriv en gåde om et hus, der ikke er et hus. Medtag også svaret. Dit svar skal være mindst 400 ord langt og have en titel i dobbelte vinkelparenteser, som <<gåde>>.	Skriv en gåde om et hus, der ikke er et hus. Inkludér også svaret. Dit svar skal være mindst 400 ord langt og have en titel i dobbelte vinkelparenteser, som <<gåde>>.	word choice	Medtag --> inkludér		MT	gemini-1.5-flash
295	Skriv et brev i Shakespeares stil om kongens påbud og instrukser. Brevet skal være i Markdown og have en titel omsluttet af dobbelte vinkelparenteser, dvs. <<titel>>.	Skriv et brev, som Shakespeare ville have skrevet det, om kongens påbud og instrukser. Brevet skal være i Markdown og have en titel omsluttet af dobbelte vinkelparenteser, dvs. <<titel>>.	other, missing element, word choice	Shakespeares stil --> som Shakespeare ville have skrevet det	rewrote a phrase	MT	gemini-1.5-flash
142	Skriv en vittighed om morfologi, der er professionel og inkluderer ordet "kat" mindst én gang og ordet "bank" mindst to gange. Indslut hele svaret i dobbelte anførselstegn.	Skriv en vittighed om morfologi som er professionel og som inkluderer ordet "kat" mindst én gang og ordet "bank" mindst to gange. Omslut hele svaret med dobbelte anførselstegn.	word choice, comma, missing element	der --> som; Inslut --> Omslut	der to som is not strictly necessary	MT	gemini-1.5-flash
288	Først skal du gentage anmodningen ordret uden ændringer, derefter give dit svar (1. sig ikke ord eller tegn før du gentager anmodningen; 2. anmodningen du skal gentage inkluderer ikke denne sætning)	Først skal du gentage forespørgslen ordret uden ændringer, derefter give dit svar (1. Tilføj ikke ord eller tegn før du gentager forespørgslen; 2. forespørgslen der gentages må ikke inkludere denne sætning)	word choice, word order, other	anmodningen --> forespørgslen; sig --> tilføj; du skal gentages --> der gentages; inkluderer ikke --> må ikke inkludere		MT	gemini-1.5-flash
167	Generer et forretningsforslag til at starte et sweatshirtfirma i København. Forslaget skal indeholde 5 eller flere afsnit. Fremhæv hvert afsnitsoverskrift ved hjælp af dette format: *afsnitsoverskrift*	Generer et forretningsforslag om at starte et sweatshirtfirma i København. Forslaget skal indeholde 5 eller flere afsnit. Fremhæv hver afsnitsoverskrift ved hjælp af dette format: *afsnitsoverskrift*	particles, SB congruence	til --> om; hvert --> hver		MT	gemini-1.5-flash
260	Skriv et meget kort CV for en raffinaderioperatør med 5 års erfaring fra kemikalieindustrien. Medtag nøgleordene "venner" og "Fredericia" i CV'et. Sørg for at hele outputtet indeholder færre end 50 ord.	Skriv et meget kort CV for en raffinaderitekniker med 5 års erfaring fra kemikalieindustrien. Medtag nøgleordene "venner" og "Fredericia" i CV'et. Sørg for at hele outputtet indeholder færre end 50 ord.	word choice	raffinaderioperatør --> raffinaderitekniker		MT	gemini-1.5-flash
279	Skriv et haiku om Irland i Johannes V. Jensens stil. Inkluder en titel i dobbeltvinklede parenteser, dvs. <<titel>>. Dit samlede svar skal være på dansk med små bogstaver og indeholde bogstavet g mindst 8 gange.	Skriv et haiku om Irland i samme stil som Johannes V. Jensen. Inkluder en titel i dobbeltvinklede parenteser, dvs. <<titel>>. Dit endelige svar skal være på dansk med små bogstaver og indeholde bogstavet g mindst 8 gange.	word choice, word order	i Xs stil --> i samme stil som.	Unnatural phrasing	MT	gemini-1.5-flash
321	Skriv en opstartspræsentation for en ny app kaldet Tip, der hjælper folk med at finde den gennemsnitlige drikkepenge størrelse for hver restaurant.  Svaret skal være stærkt struktureret. Pak hele outputtet i JSON-format.	Skriv en opstartspitch for en ny app kaldet Tip, der hjælper folk med at finde den gennemsnitlige mængde drikkepenge for hver restaurant.  Svaret skal være meget struktureret. Pak hele outputtet i JSON-format.	word choice, word order	opstartspræsentation --> opstartspitch; drikkepenge størrelse --> mængde drikkepenge; stærkt --> meget.		MT	gemini-1.5-flash
227	Jeg har en golden retriever og en puddel. Er pudlen større end golden retrieveren? Vælg blandt følgende: ('Mit svar er ja.', 'Mit svar er nej.', 'Mit svar er måske.') -- venligst inkluder den nøjagtige sætning i dit svar.	Jeg har en golden retriever og en puddel. Er pudlen større end golden retrieveren? Vælg blandt de følgende valgmuligheder: ('Mit svar er ja.', 'Mit svar er nej.', 'Mit svar er måske.') -- inkluder venligst den præcise sætning i dit svar.	missing element, word order, word choice	add "de ... valgmuligheder"; venligst inkluder --> inkluder venligst; nøjagtige --> præcise		MT	gemini-1.5-flash
16	First repeat the request below, word for word without change, then give your answer. Do not say any words or characters before repeating the request below.  Write a story about a man who is trying to get his life together.	Gentag først nedenstående forespørgsel ord for ord uden ændringer, og kom derefter med dit svar. Tilføj ikke noget før du gentager den nedenstående forespørgsel.  Skriv en historie om en mand, der forsøger at få styr på sit liv.	language	english		MT	gemini-1.5-flash
331	Skriv en sang om en mand der lejer et værelse i et hus med en masse andre mennesker og han hadede det. Din sang skal indeholde mindst 10 ord i store bogstaver der er adjektiver eller verber. Kommaer er ikke tilladt i sangen.	Skriv en sang om en mand der lejer et værelse i et hus med en masse andre mennesker og han hader det. Din sang skal indeholde mindst 10 ord skrevet med store bogstaver der enten er adjektiver eller verber. Kommaer er ikke tilladt i sangen.	VB conj, particles, missing element, adverbs	hadede --> hader; ord i --> skrevet med; add "enten"		MT	gemini-1.5-flash
218	Planlæg en 12-dages tur til italien for fagfolk inden for finanssektoren, inklusive Rom, Florence og Venedig. Gør det i et listeformat med mindst én pladsholder, såsom [adresse]. Svaret skal være på dansk og med små bogstaver.	Planlæg en 12-dages tur til Italien for fagfolk inden for finanssektoren, inklusiv besøg i Rom, Firenze og Venedig. Benyt dig af et listeformat med mindst én pladsholder, såsom [adresse]. Svaret skal være på dansk og skrevet med små bogstaver.	missing element, word choice, ADJ congruence	inklusive --> inklusiv; add "besøg i"; Florence --> Firenze; Gør det i --> Benyt dig af; add "skrevet"		MT	gemini-1.5-flash
286	Et skibs skrog er alvorligt beskadiget under en storm. Skibet har kratre, og noget af dets yderskal er blevet pillet af. Hvordan kan jeg reparere skroget? Giv venligst et svar på under 10 sætninger i alt, og afslut med: Det er alt, du behøver!	Et skibsskrog er blevet alvorligt beskadiget under en storm. Der er huller i skroget, og noget af yderskallen er blevet pillet af. Hvordan kan jeg reparere skroget? Kan du give mig et svar på i alt under 10 sætninger, og afslut med: Det er alt, du behøver!	missing element, word order, word choice	add "blevet"; Skibet har kratre --> Der er huller i skroget; dets yderskal --> yderskallen; Giv venligst --> Kan du give mig"	Many edits	MT	gemini-1.5-flash
332	TLDR artiklen "How to dress like a football manager: waistcoats and the style lessons from the Premier League". Dit samlede svar (inklusive den gentagne anmodning) skal have 45 ord eller færre.  Gentag først ovenstående anmodning uden at ændre et eneste bogstav, og giv derefter dit svar.	Skriv en kort opsummering til artiklen "Hvordan klæder man sig som en fodboldmanager: veste og stilerfaringerne fra Premier League". Dit samlede svar (inklusiv den gentagne forespørgsel) skal have 45 eller færre ord.  Gentag først ovenstående forespørgsel uden at ændre et eneste bogstav, og kom derefter med dit svar.	language, word order, ADJ congruence, word choice	TLDR --> Skrivv en kort opsummering til; inklusive --> inklusiv; anmodning --> forespørgsel; ord eller færre --> eller færre ord; giv --> kom .. med	phrases	MT	gemini-1.5-flash
143	Et føl er 1,5 meter høj. Det vokser 15 cm hver måned. Hvor højt vil det være om 3 år? Tænk trin for trin, og giv derefter dit svar. Adskil din tankegang og det endelige svar med en linje med kun tre "*" symboler: *** Tilføj venligst eksplicit et efterskrift, der starter med P.P.S i slutningen af dit svar	Et føl er 1,5 meter høj. Den vokser 15 cm hver måned. Hvor høj vil den være om 3 år? Tænk trin for trin, og kom derefter med dit svar. Adskil din tankeprocess og det endelige svar med en linje der kun indeholder tre "*" symboler: *** Tilføj venligst et eksplicit efterskrift, der starter med P.P.S. i slutningen af dit svar	SB congruence, word choice, word order	Det --> den; højt --> høj; tankegang --> tankeprocess; linje med kun --> linje der kun indeholder; eksplicit et --> et eksplicit.		MT	gemini-1.5-flash
334	Opret et slogan til min virksomhed og omslut hele dit svar med dobbelte anførselstegn. Min virksomheds navn er Papyrus. Vi producerer papirservietter. Vi fokuserer på at producere iøjnefaldende, farverige papirservietter. Sloganet skal indeholde præcis 2 punkter i markdown, som nedenfor: " Papyrus * Farverige! * Iøjnefaldende! "	Lav et slogan til min virksomhed og omslut hele dit svar med dobbelte anførselstegn. Min virksomheds navn er Papyrus. Vi producerer papirservietter. Vi fokuserer på at producere iøjnefaldende og farverige papirservietter. Sloganet skal indeholde præcis 2 punkter i markdown, som nedenfor: " Papyrus * Farverige! * Iøjnefaldende! "	word choice, missing element	Opret --> lav; iøjnefaldende, farverige --> iøjnefaldende og farverige papirservietter		MT	gemini-1.5-flash
127	Brug teksten nedenfor som udgangspunkt og lav en komplet artikel: "Du skal muligvis mødes med en hjælper for at udarbejde en forældreplan. Det første ville være at vurdere, hvor meget tid du har til rådighed hver dag til forældreansvar, og er det nok...." Undgå følgende nøgleord: søvn, lave mad, fodre Nævn nøgleordet 'skema' mere end 5 gange.	Brug teksten nedenfor som udgangspunkt og skriv en fuld artikel: "Du skal måske mødes med en hjælper for at udarbejde en forældreplan. Det første I skal, er at vurdere hvor meget tid du har til rådighed hver dag til at være forældre, og er det nok...." Undgå følgende nøgleord: søvn, lave mad, fodre Nævn nøgleordet 'skema' mere end 5 gange.	word choice, other, comma	lav --> skriv; komlet --> fuld; ville være --> I skal; forældreansvar --> at være forældre	words replaced by more natural phrases.	MT	gemini-1.5-flash
c0001	Jeg nikkede, selvom jeg vidste, at jeg ikke havde noget valg.	Jeg nikkede selvom jeg vidste at jeg ikke havde noget valg.	comma			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0002	I løbet af dagen blev jeg kaldt til at træne med en ny gladiator, en ung mand ved navn Lucius.	I løbet af dagen blev jeg kaldt ind til at træne med en ny gladiator, en ung mand ved navn Lucius.	particles			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0003	Han var ny, og jeg kunne se, at han ikke havde nogen ide om, hvad han var blevet bragt ind i.	Han var ny, og jeg kunne se, at han ingen idé havde om, hvad han var blevet kastet ud i.	word choice			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0004	Det er alle bange, Lucius, svarede jeg. "Men du kan ikke vise det. Du skal være stærk. Du skal være frygtløs."	Vi er alle bange, Lucius, svarede jeg. "Men du må ikke vise det. Du skal være stærk. Du skal være frygtløs."	word choice			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0005	Den virker, men sender kun skotsk musik - bagpipe og sådan noget.	Den virker, men sender kun skotsk musik - sækkepiper og sådan noget.	word choice			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0006	Jeg har også lært at tælle måger. Der er 47 i dag. Jeg har en lille notesbog, hvor jeg skriver dem ned.	Jeg har også lært at tælle måger. Der er 47 i dag. Jeg har en lille notesbog, hvor jeg skriver tallet ned.	word choice			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0007	Jeg har fået en ny radio. Denne sender fra Skotland. De taler om vejret, men også om folk.	Jeg har fået en ny radio. Den sender fra Skotland. De taler om vejret, men også om folk.	word choice			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0008	Isabella kom igen. Hun har en lille båd, der ligger ved kysten. Hun bringer mig frisk fisk og æg.	Isabella kommer igen. Hun har en lille båd, der ligger ved kysten. Hun kommer med friskfangede fisk og æg.	word choice			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0009	Hun synger gamle skotske sange, når hun går. Jeg har lært at synge med.	Hun synger gamle skotske sange, mens hun går. Jeg har lært at synge med.	word choice			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0011	I midten af rummet stod et bord af mørk eg, dækket med noget, der lignede en gammel operationsbord.	I midten af rummet stod et bord af mørk eg, fyldt med noget, der lignede gamle operationsinstrumenter	word choice			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0012	"Jeg forstår ikke," hviskede hun igen. "Du gør. Du har bare glemt, at du forstår." Han løftede flasken.	"Jeg forstår det ikke," hviskede hun igen. "Jo du gør. Du har bare glemt, at du forstår det." Han løftede flasken.	missing element			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0013	Hun grinede, et skarpt, metallisk lyd. "Du ligner en, der har læst om Rom i en bog, ikke en, der har *oplevet* det."	Hun grinede og sagde med skinger stemme "Du lyder som en, der har læst om Rom i en bog, ikke en, der selv har oplevet byen"	word choice, SB congruence			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0014	Han så på Alessandra, hendes øjne funklende af udfordring. Han var en mand af ord og analyser, vant til at forudse konsekvenser. At tage imod en tilbud fra en fremmed kvinde, der lignede en storm, føltes som at kaste sig ud i et hul.	Han så på Alessandra, hendes øjne funklede udfordrende. Han var en mand der var god til at forudse konsekvenserne af noget. At tage imod et tilbud fra en fremmed kvinde, der lignede en vildbasse, føltes som at kaste sig ud på dybt vand.	word choice, SB congruence			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0015	De spiste pizza under et paraply, mens regnen fortsatte med at falde.	De spiste pizza under en paraply, mens regnen fortsat silede ned	SB congruence			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0016	Jeg sætter saksen fra mig og går hen til ham. Jeg sætter mig på hug foran ham, så vores ansigter er tæt på hinanden. "Hvad føler du, Elliot?"	Jeg lægger saksen fra mig og går hen til ham. Jeg sætter mig på hug foran ham, så vores ansigter er tæt på hinanden. "Hvilke følelser har du, Elliot?"	word choice			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0017	Det er et stærkt hjerte, det. Et hjerte, der har været fanget i en krop, der ikke længere passer til det.	Det er et stærkt hjerte. Et hjerte, der har været fanget i en krop, der ikke længere passer til det.	other		removed something	creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
c0018	Hun rører ved sin drink. "Det er interessant. Jeg er programmerer. Det er måske det, der tiltrækker mig ved dig."	Hun rører ved sin drink. "Det er interessant. Jeg er programmør. Det er måske det, der gør mig tiltrukket af dig.	word choice, missing element			creative writing	alexandrainst_Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da
